note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
alto_0.0_8.0_1,Alto.,0.0,8.0,0.0,8.0,8.0,,Rest,,,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_8.0_16.0_2,Alto.,0.0,8.0,8.0,16.0,8.0,,Rest,,,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_16.0_24.0_3,Alto.,0.0,8.0,16.0,24.0,8.0,,Rest,,,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_24.0_32.0_4,Alto.,0.0,8.0,24.0,32.0,8.0,,Rest,,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_32.0_40.0_5,Alto.,0.0,8.0,32.0,40.0,8.0,,Rest,,,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_40.0_48.0_6,Alto.,0.0,8.0,40.0,48.0,8.0,,Rest,,,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_48.0_56.0_7,Alto.,0.0,8.0,48.0,56.0,8.0,,Rest,,,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_56.0_64.0_8,Alto.,0.0,8.0,56.0,64.0,8.0,,Rest,,,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_64.0_66.0_9,Alto.,0.0,2.0,64.0,66.0,2.0,65.0,F4,0.7086600000000001,90.0,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alto_66.0_68.0_9,Alto.,2.0,4.0,66.0,68.0,2.0,66.0,G4,0.7086600000000001,90.0,9,2.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0
alto_68.0_71.0_9,Alto.,4.0,7.0,68.0,71.0,3.0,64.0,E#4,0.65866,84.0,9,3.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0
alto_71.0_72.0_9,Alto.,7.0,8.0,71.0,72.0,1.0,65.0,F4,0.7086600000000001,90.0,9,4.5,0.125,1.0,0.0,0.0,0.0,0.0,0.0
alto_72.0_73.0_10,Alto.,0.0,1.0,72.0,73.0,1.0,67.0,G4,0.7086600000000001,90.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_73.0_74.0_10,Alto.,1.0,2.0,73.0,74.0,1.0,65.0,F4,0.7086600000000001,90.0,10,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
alto_74.0_75.0_10,Alto.,2.0,3.0,74.0,75.0,1.0,67.0,G4,0.7086600000000001,90.0,10,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
alto_75.0_76.0_10,Alto.,3.0,4.0,75.0,76.0,1.0,68.0,A-4,0.7086600000000001,90.0,10,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
alto_76.0_78.0_10,Alto.,4.0,6.0,76.0,78.0,2.0,70.0,B-4,0.7086600000000001,90.0,10,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
alto_78.0_79.0_10,Alto.,6.0,7.0,78.0,79.0,1.0,68.0,A-4,0.7086600000000001,90.0,10,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
alto_79.0_80.0_10,Alto.,7.0,8.0,79.0,80.0,1.0,67.0,G4,0.7086600000000001,90.0,10,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
alto_80.0_82.0_11,Alto.,0.0,2.0,80.0,82.0,2.0,68.0,A-4,0.7086600000000001,90.0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_82.0_84.0_11,Alto.,2.0,4.0,82.0,84.0,2.0,67.0,G4,0.7086600000000001,90.0,11,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
alto_84.0_86.0_11,Alto.,4.0,6.0,84.0,86.0,2.0,65.0,F4,0.7086600000000001,90.0,11,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
alto_86.0_89.0_11,Alto.,6.0,9.0,86.0,89.0,3.0,65.0,F4,0.7086600000000001,90.0,11,4.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0
alto_89.0_90.0_12,Alto.,1.0,2.0,89.0,90.0,1.0,62.0,D#4,0.7086600000000001,90.0,12,1.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
alto_90.0_91.0_12,Alto.,2.0,3.0,90.0,91.0,1.0,63.0,E-4,0.7086600000000001,90.0,12,2.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0
alto_91.0_92.0_12,Alto.,3.0,4.0,91.0,92.0,1.0,60.0,C4,0.7086600000000001,90.0,12,2.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
alto_92.0_95.0_12,Alto.,4.0,7.0,92.0,95.0,3.0,59.0,B#3,0.7086600000000001,90.0,12,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
alto_95.0_96.0_12,Alto.,7.0,8.0,95.0,96.0,1.0,60.0,C4,0.7086600000000001,90.0,12,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
alto_96.0_98.0_13,Alto.,0.0,2.0,96.0,98.0,2.0,60.0,C4,0.3937322834645669,50.0,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_98.0_102.0_13,Alto.,2.0,6.0,98.0,102.0,4.0,72.0,C5,0.7086600000000001,90.0,13,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
alto_102.0_104.0_13,Alto.,6.0,8.0,102.0,104.0,2.0,71.0,B#4,0.4330629921259842,55.0,13,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
alto_104.0_107.0_14,Alto.,0.0,3.0,104.0,107.0,3.0,72.0,C5,0.3937322834645669,50.0,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alto_107.0_108.0_14,Alto.,3.0,4.0,107.0,108.0,1.0,67.0,G4,0.4330629921259842,55.0,14,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
