note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
basso_0.0_2.0_1,Basso.,0.0,2.0,0.0,2.0,2.0,53.0,F3,0.7086600000000001,90.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
basso_2.0_4.0_1,Basso.,2.0,4.0,2.0,4.0,2.0,54.0,G3,0.7086600000000001,90.0,1,2.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0
basso_4.0_7.0_1,Basso.,4.0,7.0,4.0,7.0,3.0,52.0,E#3,0.4330629921259842,55.0,1,3.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0
basso_7.0_8.0_1,Basso.,7.0,8.0,7.0,8.0,1.0,53.0,F3,0.7086600000000001,90.0,1,4.5,0.125,1.0,0.0,0.0,0.0,0.0,0.0
basso_8.0_9.0_2,Basso.,0.0,1.0,8.0,9.0,1.0,55.0,G3,0.7086600000000001,90.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_9.0_10.0_2,Basso.,1.0,2.0,9.0,10.0,1.0,53.0,F3,0.7086600000000001,90.0,2,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_10.0_11.0_2,Basso.,2.0,3.0,10.0,11.0,1.0,55.0,G3,0.7086600000000001,90.0,2,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_11.0_12.0_2,Basso.,3.0,4.0,11.0,12.0,1.0,56.0,A-3,0.7086600000000001,90.0,2,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_12.0_14.0_2,Basso.,4.0,6.0,12.0,14.0,2.0,58.0,B-3,0.7086600000000001,90.0,2,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_14.0_15.0_2,Basso.,6.0,7.0,14.0,15.0,1.0,56.0,A-3,0.3937322834645669,50.0,2,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_15.0_16.0_2,Basso.,7.0,8.0,15.0,16.0,1.0,55.0,G3,0.4173307086614173,53.0,2,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_16.0_18.0_3,Basso.,0.0,2.0,16.0,18.0,2.0,56.0,A-3,0.7086600000000001,90.0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_18.0_20.0_3,Basso.,2.0,4.0,18.0,20.0,2.0,55.0,G3,0.4487952755905511,57.0,3,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
