note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
sopranoiii_0.0_8.0_1,Soprano I.II.,0.0,8.0,0.0,8.0,8.0,,Rest,,,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_8.0_16.0_2,Soprano I.II.,0.0,8.0,8.0,16.0,8.0,,Rest,,,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_16.0_24.0_3,Soprano I.II.,0.0,8.0,16.0,24.0,8.0,,Rest,,,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_24.0_32.0_4,Soprano I.II.,0.0,8.0,24.0,32.0,8.0,,Rest,,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_32.0_40.0_5,Soprano I.II.,0.0,8.0,32.0,40.0,8.0,,Rest,,,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_40.0_48.0_6,Soprano I.II.,0.0,8.0,40.0,48.0,8.0,,Rest,,,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_48.0_56.0_7,Soprano I.II.,0.0,8.0,48.0,56.0,8.0,,Rest,,,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_56.0_64.0_8,Soprano I.II.,0.0,8.0,56.0,64.0,8.0,,Rest,,,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_64.0_72.0_9,Soprano I.II.,0.0,8.0,64.0,72.0,8.0,,Rest,,,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_72.0_80.0_10,Soprano I.II.,0.0,8.0,72.0,80.0,8.0,,Rest,,,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_80.0_84.0_11,Soprano I.II.,0.0,4.0,80.0,84.0,4.0,,Rest,,,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_84.0_86.0_11,Soprano I.II.,4.0,6.0,84.0,86.0,2.0,72.0,C5,0.7086600000000001,90.0,11,3.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
sopranoiii_86.0_88.0_11,Soprano I.II.,6.0,8.0,86.0,88.0,2.0,73.0,D-5,0.7086600000000001,90.0,11,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0
sopranoiii_88.0_91.0_12,Soprano I.II.,0.0,3.0,88.0,91.0,3.0,71.0,B#4,0.65866,84.0,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
sopranoiii_91.0_92.0_12,Soprano I.II.,3.0,4.0,91.0,92.0,1.0,72.0,C5,0.7086600000000001,90.0,12,2.5,0.125,0.0,1.0,0.0,0.0,0.0,0.0
sopranoiii_92.0_93.0_12,Soprano I.II.,4.0,5.0,92.0,93.0,1.0,74.0,D#5,0.7086600000000001,90.0,12,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_93.0_94.0_12,Soprano I.II.,5.0,6.0,93.0,94.0,1.0,72.0,C5,0.7086600000000001,90.0,12,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_94.0_95.0_12,Soprano I.II.,6.0,7.0,94.0,95.0,1.0,74.0,D5,0.7086600000000001,90.0,12,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_95.0_96.0_12,Soprano I.II.,7.0,8.0,95.0,96.0,1.0,75.0,E-5,0.7086600000000001,90.0,12,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_96.0_98.0_13,Soprano I.II.,0.0,2.0,96.0,98.0,2.0,77.0,F5,0.7086600000000001,90.0,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_98.0_99.0_13,Soprano I.II.,2.0,3.0,98.0,99.0,1.0,75.0,E-5,0.7086600000000001,90.0,13,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_99.0_100.0_13,Soprano I.II.,3.0,4.0,99.0,100.0,1.0,74.0,D#5,0.7086600000000001,90.0,13,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_100.0_102.0_13,Soprano I.II.,4.0,6.0,100.0,102.0,2.0,75.0,E-5,0.7086600000000001,90.0,13,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_102.0_104.0_13,Soprano I.II.,6.0,8.0,102.0,104.0,2.0,74.0,D5,0.4330629921259842,55.0,13,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_104.0_106.0_14,Soprano I.II.,0.0,2.0,104.0,106.0,2.0,72.0,C5,0.3937322834645669,50.0,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_106.0_110.0_14,Soprano I.II.,2.0,6.0,106.0,110.0,4.0,75.0,E-5,0.7086600000000001,90.0,14,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_110.0_111.0_14,Soprano I.II.,6.0,7.0,110.0,111.0,1.0,73.0,D-5,0.7086600000000001,90.0,14,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_111.0_112.0_14,Soprano I.II.,7.0,8.0,111.0,112.0,1.0,72.0,C5,0.7086600000000001,90.0,14,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_112.0_114.0_15,Soprano I.II.,0.0,2.0,112.0,114.0,2.0,70.0,B-4,0.7086600000000001,90.0,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_114.0_116.0_15,Soprano I.II.,2.0,4.0,114.0,116.0,2.0,69.0,A#4,0.7086600000000001,90.0,15,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_116.0_118.0_15,Soprano I.II.,4.0,6.0,116.0,118.0,2.0,70.0,B-4,0.3543307086614173,45.0,15,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_118.0_122.0_15,Soprano I.II.,6.0,10.0,118.0,122.0,4.0,77.0,F5,0.7086600000000001,90.0,15,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_122.0_123.0_16,Soprano I.II.,2.0,3.0,122.0,123.0,1.0,75.0,E-5,0.7086600000000001,90.0,16,2.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_123.0_124.0_16,Soprano I.II.,3.0,4.0,123.0,124.0,1.0,74.0,D#5,0.7086600000000001,90.0,16,2.5,0.125,1.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_124.0_126.0_16,Soprano I.II.,4.0,6.0,124.0,126.0,2.0,72.0,C5,0.7086600000000001,90.0,16,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_126.0_128.0_16,Soprano I.II.,6.0,8.0,126.0,128.0,2.0,71.0,B#4,0.7086600000000001,90.0,16,4.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_128.0_130.0_17,Soprano I.II.,0.0,2.0,128.0,130.0,2.0,72.0,C5,0.7086600000000001,90.0,17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_130.0_133.0_17,Soprano I.II.,2.0,5.0,130.0,133.0,3.0,72.0,C5,0.7086600000000001,90.0,17,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_133.0_134.0_17,Soprano I.II.,5.0,6.0,133.0,134.0,1.0,70.0,B-4,0.7086600000000001,90.0,17,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_134.0_135.0_17,Soprano I.II.,6.0,7.0,134.0,135.0,1.0,68.0,A-4,0.7086600000000001,90.0,17,4.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
sopranoiii_135.0_136.0_17,Soprano I.II.,7.0,8.0,135.0,136.0,1.0,67.0,G4,0.7086600000000001,90.0,17,4.5,0.125,0.0,0.0,0.0,1.0,0.0,0.0
sopranoiii_136.0_138.0_18,Soprano I.II.,0.0,2.0,136.0,138.0,2.0,68.0,A-4,0.7086600000000001,90.0,18,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
sopranoiii_138.0_139.0_18,Soprano I.II.,2.0,3.0,138.0,139.0,1.0,67.0,G4,0.7086600000000001,90.0,18,2.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
sopranoiii_139.0_140.0_18,Soprano I.II.,3.0,4.0,139.0,140.0,1.0,68.0,A-4,0.7086600000000001,90.0,18,2.5,0.125,0.0,0.0,0.0,1.0,0.0,0.0
sopranoiii_140.0_145.0_18,Soprano I.II.,4.0,9.0,140.0,145.0,5.0,70.0,B-4,0.7086600000000001,90.0,18,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_145.0_146.0_19,Soprano I.II.,1.0,2.0,145.0,146.0,1.0,72.0,C5,0.7086600000000001,90.0,19,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_146.0_150.0_19,Soprano I.II.,2.0,6.0,146.0,150.0,4.0,73.0,D-5,0.7086600000000001,90.0,19,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_150.0_154.0_19,Soprano I.II.,6.0,10.0,150.0,154.0,4.0,72.0,C5,0.7086600000000001,90.0,19,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_154.0_155.0_20,Soprano I.II.,2.0,3.0,154.0,155.0,1.0,77.0,F5,0.7086600000000001,90.0,20,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_155.0_156.0_20,Soprano I.II.,3.0,4.0,155.0,156.0,1.0,75.0,E-5,0.7086600000000001,90.0,20,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_156.0_158.0_20,Soprano I.II.,4.0,6.0,156.0,158.0,2.0,73.0,D-5,0.7086600000000001,90.0,20,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_158.0_159.0_20,Soprano I.II.,6.0,7.0,158.0,159.0,1.0,72.0,C5,0.7086600000000001,90.0,20,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_159.0_160.0_20,Soprano I.II.,7.0,8.0,159.0,160.0,1.0,70.0,B-4,0.7086600000000001,90.0,20,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
sopranoiii_160.0_161.0_21,Soprano I.II.,0.0,1.0,160.0,161.0,1.0,68.0,A-4,0.7086600000000001,90.0,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
